Elapsed_Time,Time (s),Distance [feet],Logger Temperature [∞F],AccelerometerX [g],AccelerometerY [g],AccelerometerZ [g],GyroX [deg/s],GyroY [deg/s],GyroZ [deg/s],Int Batt Voltage [V],RPM [rpm],BrakePressure_0 [bar],BrakePressure_1 [bar],GPS_Speed [mph],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [∞],GPS_Longitude [∞],GPS_Elevation [cm]
 00.19.903,0,0,64.884,-0.838,0.424,-0.775,-8.958,0.21,-27.354,3.716,0,-0.778,-0.739,34.499,18,-1.162,-0.244,-1.756,-36.413,-41.595,187.004,0.75,0.17,42.78539315,-86.09064257,189.45
,0.02,1.01,64.878,-0.857,0.447,-0.765,-8.883,0.137,-27.999,3.716,0,-0.763,-0.722,34.374,18,-1.169,-0.223,-1.753,-37.229,-42.013,186.972,0.75,0.17,42.78539532,-86.09064485,189.41
,0.04,2.01,64.872,-0.876,0.465,-0.753,-8.798,0.068,-28.585,3.716,0,-0.747,-0.706,34.295,18,-1.181,-0.211,-1.76,-38.107,-42.533,186.961,0.75,0.17,42.78539744,-86.09064719,189.4
,0.06,3,64.867,-0.896,0.477,-0.741,-8.698,0.001,-29.134,3.715,0,-0.731,-0.69,34.22,18,-1.193,-0.201,-1.768,-38.991,-43.065,186.953,0.75,0.17,42.78539954,-86.09064957,189.4
,0.08,4,64.861,-0.917,0.484,-0.729,-8.603,-0.062,-29.653,3.715,0,-0.733,-0.693,34.146,18,-1.205,-0.191,-1.776,-39.876,-43.596,186.945,0.75,0.17,42.78540162,-86.09065197,189.4
,0.1,5,64.856,-0.939,0.488,-0.717,-8.517,-0.112,-30.14,3.715,0,-0.765,-0.724,34.071,18,-1.217,-0.181,-1.784,-40.761,-44.128,186.937,0.75,0.17,42.78540364,-86.09065444,189.38
,0.12,5.99,64.85,-0.96,0.49,-0.705,-8.438,-0.144,-30.611,3.715,0,-0.796,-0.756,33.996,18,-1.229,-0.171,-1.792,-41.645,-44.66,186.928,0.75,0.17,42.78540565,-86.09065692,189.37
,0.14,6.98,64.844,-0.981,0.489,-0.695,-8.381,-0.159,-31.093,3.715,0,-0.772,-0.759,33.933,18,-1.244,-0.162,-1.822,-42.571,-45.327,186.915,0.75,0.17,42.7854076,-86.09065946,189.36
,0.16,7.97,64.839,-1.001,0.486,-0.686,-8.347,-0.167,-31.592,3.715,0,-0.741,-0.76,33.871,18,-1.26,-0.153,-1.854,-43.502,-46.01,186.902,0.75,0.17,42.78540953,-86.09066203,189.34
,0.18,8.96,64.833,-1.021,0.481,-0.678,-8.351,-0.18,-32.106,3.715,0,-0.728,-0.748,33.809,18,-1.275,-0.144,-1.886,-44.432,-46.693,186.888,0.75,0.17,42.78541145,-86.09066462,189.33
,0.2,9.95,64.828,-1.04,0.475,-0.67,-8.394,-0.2,-32.664,3.715,0,-0.743,-0.716,33.747,18,-1.291,-0.135,-1.918,-45.363,-47.376,186.875,0.75,0.17,42.78541329,-86.09066729,189.32
,0.22,10.93,64.822,-1.06,0.468,-0.663,-8.476,-0.225,-33.226,3.715,0,-0.759,-0.685,33.685,18,-1.306,-0.126,-1.95,-46.293,-48.059,186.861,0.75,0.17,42.78541513,-86.09066996,189.3
,0.24,11.92,64.816,-1.08,0.46,-0.656,-8.59,-0.248,-33.817,3.714,0,-0.774,-0.737,33.634,18,-1.317,-0.111,-1.98,-47.236,-48.528,186.849,0.75,0.166,42.78541691,-86.09067269,189.29
,0.26,12.9,64.811,-1.101,0.451,-0.649,-8.749,-0.264,-34.41,3.714,0,-0.79,-0.799,33.584,18,-1.328,-0.095,-2.01,-48.18,-48.972,186.837,0.75,0.162,42.78541866,-86.09067546,189.27
